學校名稱,系所(組)名稱,107學年度核定招生名額,班數,大學多元入學-考試分發入學,大學多元入學-繁星推薦入學,大學多元入學-個人申請入學-一般,大學多元入學-個人申請入學-青年儲蓄帳戶組,四技二專-甄選入學,四技二專-登記分發入學,四技二專-技優入學,四技二專-青年儲蓄帳戶組,運動績優-甄試,運動績優-單獨招生,單獨招生-全校單招,單獨招生-學系單招,單獨招生-特殊選才,單獨招生-其他,外加名額-大學多元入學-繁星推薦入學,外加名額-大學多元入學-個人申請入學,外加名額-大學多元入學-單獨招生,外加名額-四技二專技優入學
大同大學,化學工程與生物科技學系,60,2,29,17,69,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
大同大學,材料工程學系,89,2,21,12,55,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0
大同大學,生物工程學系,55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大同大學,電機工程學系,104,2,28,16,59,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
大同大學,資訊工程學系,102,2,30,18,53,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
慈濟大學,公共衛生學系,50,1,17,5,28,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
慈濟大學,物理治療學系,43,1,7,8,24,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0
慈濟大學,學士後中醫學系,45,1,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
慈濟大學,醫學系,49,1,16,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
慈濟大學,醫學資訊學系,50,1,10,9,29,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0
慈濟大學,醫學檢驗生物技術學系,50,1,13,9,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
慈濟大學,護理學系,80,2,10,32,38,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
慈濟大學,生命科學系,44,1,16,4,23,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
慈濟大學,分子生物暨人類遺傳學系,41,1,10,5,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
慈濟大學,人類發展與心理學系,40,1,12,8,20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
慈濟大學,東方語文學系中文組,28,1,9,2,16,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
慈濟大學,東方語文學系日文組,38,1,15,3,19,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
慈濟大學,社會工作學系,48,1,17,5,26,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
慈濟大學,英美語文學系,38,1,14,3,20,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
慈濟大學,兒童發展與家庭教育學系,40,1,4,7,20,0,3,0,0,2,0,0,0,0,4,0,2,2,0,0
慈濟大學,傳播學系,50,1,16,4,26,0,1,0,0,0,1,0,0,0,2,0,2,2,0,0
臺北醫學大學,食品安全學系,35,1,7,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺北醫學大學,醫務管理學系,60,1,11,10,35,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
臺北醫學大學,保健營養學系,60,2,12,7,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
臺北醫學大學,生物醫學工程學系,35,1,5,6,22,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
臺北醫學大學,醫學系,135,3,16,33,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺北醫學大學,呼吸治療學系,45,1,12,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺北醫學大學,牙醫學系,87,2,15,11,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺北醫學大學,牙體技術學系,35,1,6,8,20,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
臺北醫學大學,口腔衛生學系,35,1,6,6,23,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
臺北醫學大學,藥學系臨床藥學組,30,1,20,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
